strategy_id,strategy,system_domain,prevention,detection,service_continuity,workforce_capacity,adaptive_governance,trust,equity_protection,implementation_burden,critical_function,resilience_value,scenario,rank
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.212,Balanced,1
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.157000000000002,Balanced,2
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.835,Balanced,3
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.808000000000001,Balanced,4
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.801000000000001,Balanced,5
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.79,Balanced,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.255,Continuity-first,1
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,8.194,Continuity-first,2
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.189,Continuity-first,3
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,8.086,Continuity-first,4
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.905,Continuity-first,5
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.89,Continuity-first,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.203000000000001,Detection-first,1
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,8.176,Detection-first,2
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.137,Detection-first,3
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.851999999999999,Detection-first,4
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.778,Detection-first,5
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.775000000000001,Detection-first,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.503000000000002,Equity-first,1
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.418999999999999,Equity-first,2
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.9990000000000006,Equity-first,3
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.9510000000000005,Equity-first,4
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.902000000000001,Equity-first,5
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.819000000000001,Equity-first,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,6.956999999999999,Implementation-sensitive,1
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,6.934,Implementation-sensitive,2
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,6.5920000000000005,Implementation-sensitive,3
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,6.543000000000001,Implementation-sensitive,4
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,6.523999999999999,Implementation-sensitive,5
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,6.508,Implementation-sensitive,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.213000000000001,Prevention-first,1
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.2,Prevention-first,2
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.8790000000000004,Prevention-first,3
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.868,Prevention-first,4
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.821000000000001,Prevention-first,5
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.736000000000001,Prevention-first,6
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.423,Trust-first,1
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.385,Trust-first,2
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.9079999999999995,Trust-first,3
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,7.905,Trust-first,4
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.826,Trust-first,5
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.786,Trust-first,6
PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,8.1,8,8.2,8.3,8.8,8.7,9.1,3,aligns emergency powers resource distribution accessible communication community authority and recovery with equity,8.281,Workforce-first,1
PH004,Community Health Trust and Outreach Network,community trust and outreach,8.2,7.9,8.1,8.2,8.5,9,8.9,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity,8.215,Workforce-first,2
PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,7.4,7.5,8,9,8.3,8,8.1,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity,8.165,Workforce-first,3
PH002,Essential Health Service Continuity Program,service continuity and care access,7.6,7.4,9,8.1,8.2,7.9,8.2,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services,7.96,Workforce-first,4
PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,7.9,7.8,8.7,7.9,8.1,7.7,8,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress,7.877999999999999,Workforce-first,5
PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,7.8,9,7.9,7.8,8.4,7.5,7.7,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence,7.863999999999999,Workforce-first,6
